card_number,qso_time,call_sign,card_type,card_class,generation
286181123617,202410062145,汤逊湖944,QSO,R,1
28618112300,202410062221,BH6RPY,QSO,R,1
286181123000,202410062221,BH6RPY,QSO,R,1
286181123001,202410062329,BI7BJG,QSO,R,1
286181123002,202410062331,BG6UWA,QSO,R,1
286181123003,202410062333,BH6ASA,QSO,R,1
286181123004,202410070849,BH6QBC,QSO,R,1
286181123005,202410070850,小号532,QSO,R,1
286181123006,202410122213,汤逊湖944,QSO,R,1
286181123007,202410131908,BH6RPY,EB,R,1
286181123008,202410131912,BH6RPY,EB,R,1
286181123009,202410131913,BH6RSH,EB,R,1
286181123010,202410131915,BH6RSH,EB,R,1
286181123011,202410131916,BG6QVZ,EB,R,1
286181123012,202410131918,BG6QVZ,EB,R,1
286181123013,None,None,None,None,None
286181123014,None,None,None,None,None
286181123015,202411241400,BH6RPY,EB,R,1
286181123016,202411241402,BH6QCT,EB,R,1
286181123017,202502231449,BH9FUW,EB,R,1
286181123018,202502231451,BA7OTL,EB,R,1
286181123019,202502231452,BA4QNH,EB,R,1
286181123020,202502231454,BI4LQH,EB,R,1
286181123021,202502231454,BG4IRN,EB,R,1
286181123022,202502231455,BH6RKS,EB,R,1
286181123023,202502231455,BH8QWS,EB,R,1
286181123024,202502231456,BA4RSE,EB,R,1
286181123025,202409160811,BY1HT,QSO,R,1
286181123026,None,None,None,None,None
286181123027,None,None,None,None,None
286181123028,None,None,None,None,None
286181123029,None,None,None,None,None
286181123030,202503132052,BH6RPY,EB,R,2
286181123031,202503141127,BH6SAY,EB,R,2
286181123032,202503141735,BH6RSH,EB,R,2
286181123032,202504041319,BH6SAJ,EB,R,2
286181123033,202503161411,BA4RSE,EB,R,2
286181123033,202504041328,BG6QVZ,EB,R,1
286181123033,202504041330,BH6RPS,EB,R,2
286181123034,202503161415,BI1VWD,EB,R,1
286181123034,202504041330,BH6RPS,EB,R,2
286181123035,None,None,None,None,None
286181123036,None,None,None,None,None
286181123037,None,None,None,None,None
286181123038,None,None,None,None,None
286181123039,None,None,None,None,None
286181123040,None,None,None,None,None
286181123041,202505181510,BA4RSE,EB,R,2
286181123042,202505181513,BI1VWD,EB,R,2
286181123043,None,None,None,None,None
286181123044,None,None,None,None,None
286181123045,202505240722,汉南271,EB,R,2
286181123046,202505311859,BH6RJD,EB,R,1
286181123047,202505311859,BH6RJD,EB,R,2
286181123047,202505311909,BH6SDY,EB,R,2
286181123047,202505312211,应城823,EB,R,2
286181123048,None,None,None,None,None
286181123049,202507121422,BH6RSH,EB,R,2
286181123050,202507121424,BG5JXA,EB,R,2
286181123051,202507121425,BH6QHL,EB,R,2
286181123052,202507121427,BG2GNX,EB,R,2
286181123053,202507121433,BH6QCT,EB,R,2
286181123054,202507201851,BH6RJD,EB,R,2
286181123054,202507201851,B4/BA4INU,EB,R,2
286181123055,202506282031,BH6SGE,QSO,R,1
